TransportType    LoadFactor                  WorkLoad                  MsgSizeRange  SizeCntPercent  BytesPercent   UnschedBytes   MeanStretch   MedianStretch 99PercentStretch
    Homa             0.5                 FACEBOOK_KEY_VALUE                  22          0.47460        0.19679          9328      1.19776997288        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  22          0.47460        0.19679          9328            NA       1.13393472683        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  22          0.47460        0.19679          9328            NA             NA        1.8074837211 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  25          0.70110        0.29689          9328      1.19724214039        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  25          0.70110        0.29689          9328            NA       1.13439582456        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  25          0.70110        0.29689          9328            NA             NA       1.80501772644 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  28          0.68804        0.29864          9328      1.19685413506        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  28          0.68804        0.29864          9328            NA       1.13257302004        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  28          0.68804        0.29864          9328            NA             NA        1.802668148  
    Homa             0.5                 FACEBOOK_KEY_VALUE                  31          0.67561        0.30040          9328       1.1966583412        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  31          0.67561        0.30040          9328            NA       1.13227917649        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  31          0.67561        0.30040          9328            NA             NA        1.8052125353 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  35          0.88179        0.40295          9328      1.19612448552        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  35          0.88179        0.40295          9328            NA       1.13334284188        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  35          0.88179        0.40295          9328            NA             NA       1.80094488154 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  39          0.86051        0.40537          9328      1.19592412835        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  39          0.86051        0.40537          9328            NA       1.13323225293        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  39          0.86051        0.40537          9328            NA             NA       1.80085569622 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  44          1.04626        0.50948          9328      1.19539612965        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  44          1.04626        0.50948          9328            NA        1.132846321         NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  44          1.04626        0.50948          9328            NA             NA       1.79762262842 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  49          1.01549        0.51242          9328      1.19480234411        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  49          1.01549        0.51242          9328            NA       1.13144471492        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  49          1.01549        0.51242          9328            NA             NA       1.79595416975 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  55          1.17990        0.61825          9328      1.19430550112        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  55          1.17990        0.61825          9328            NA       1.13057798878        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  55          1.17990        0.61825          9328            NA             NA       1.79241831955 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  61          1.13823        0.62051          9328      1.19358183465        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  61          1.13823        0.62051          9328            NA       1.13198157267        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  61          1.13823        0.62051          9328            NA             NA       1.79173028732 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  68          1.27815        0.72608          9328      1.19292070288        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  68          1.27815        0.72608          9328            NA       1.13198024184        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  68          1.27815        0.72608          9328            NA             NA       1.78907213421 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  76          1.39897        0.83172          9328      1.19231192237        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  76          1.39897        0.83172          9328            NA       1.13025947705        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  76          1.39897        0.83172          9328            NA             NA       1.78587519952 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  85          1.49996        0.93672          9328      1.19159162269        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  85          1.49996        0.93672          9328            NA       1.12904479327        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  85          1.49996        0.93672          9328            NA             NA       1.78286824978 
    Homa             0.5                 FACEBOOK_KEY_VALUE                  95          1.57929        1.03915          9328      1.19081836682        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  95          1.57929        1.03915          9328            NA       1.12881106625        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                  95          1.57929        1.03915          9328            NA             NA       1.78185840754 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 107          1.78352        1.24265          9328      1.18986477594        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 107          1.78352        1.24265          9328            NA       1.12913706439        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 107          1.78352        1.24265          9328            NA             NA       1.77791255912 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 119          1.66937        1.23381          9328       1.1889299927        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 119          1.66937        1.23381          9328            NA       1.12821525774        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 119          1.66937        1.23381          9328            NA             NA       1.77300143518 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 133          1.81842        1.42725          9328      1.19675304275        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 133          1.81842        1.42725          9328            NA       1.13567706365        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 133          1.81842        1.42725          9328            NA             NA       1.80225108824 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 149          1.91870        1.60736          9328      1.20239967457        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 149          1.91870        1.60736          9328            NA       1.13908474659        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 149          1.91870        1.60736          9328            NA             NA       1.81826322177 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 167          1.97778        1.77532          9328      1.20108082289        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 167          1.97778        1.77532          9328            NA       1.13765699245        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 167          1.97778        1.77532          9328            NA             NA       1.81275539413 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 186          1.90182        1.83121          9328      1.19967020209        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 186          1.90182        1.83121          9328            NA       1.13459078692        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 186          1.90182        1.83121          9328            NA             NA       1.80745766812 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 208          1.99199        2.06182          9328      1.19827325566        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 208          1.99199        2.06182          9328            NA       1.13259406723        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 208          1.99199        2.06182          9328            NA             NA       1.80527635464 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 233          2.02257        2.26087          9328      1.19670051215        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 233          2.02257        2.26087          9328            NA        1.1314523153        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 233          2.02257        2.26087          9328            NA             NA       1.80035306376 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 260          1.93742        2.34324          9328      1.19508771398        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 260          1.93742        2.34324          9328            NA       1.12594546407        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 260          1.93742        2.34324          9328            NA             NA       1.79770717257 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 291          1.95347        2.56204          9328      1.20371658293        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 291          1.95347        2.56204          9328            NA       1.12795701976        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 291          1.95347        2.56204          9328            NA             NA       1.83831300993 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 325          1.86061        2.65324          9328      1.20960957581        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 325          1.86061        2.65324          9328            NA        1.1331868741        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 325          1.86061        2.65324          9328            NA             NA       1.86361238728 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 364          1.83293        2.84914          9328      1.20725159949        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 364          1.83293        2.84914          9328            NA       1.12851124533        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 364          1.83293        2.84914          9328            NA             NA       1.85769416204 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 406          1.67720        2.84647          9328      1.20485155353        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 406          1.67720        2.84647          9328            NA        1.1270206464        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 406          1.67720        2.84647          9328            NA             NA       1.85505405638 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 454          1.61387        2.99446          9328      1.20217876882        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 454          1.61387        2.99446          9328            NA       1.12217563182        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 454          1.61387        2.99446          9328            NA             NA       1.85206161427 
    Homa             0.5                 FACEBOOK_KEY_VALUE                 508          1.50691        3.06638          9328      1.21494712244        NA             NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 508          1.50691        3.06638          9328            NA       1.12687756499        NA      
    Homa             0.5                 FACEBOOK_KEY_VALUE                 508          1.50691        3.06638          9328            NA             NA        1.9333527919 
